"InvoiceNo","StockCode","Description","Quantity","InvoiceDate","UnitPrice","CustomerID","Country"
"546306","21733","RED HANGING HEART T-LIGHT HOLDER",2,"2011-03-10 16:16:00",2.95,NA,"United Kingdom"
"557055","23203","JUMBO BAG DOILEY PATTERNS",20,"2011-06-16 14:45:00",2.08,12621,"Germany"
"572516","22336","damaged",-71,"2011-10-24 14:45:00",0,NA,"United Kingdom"
"556484","21670","BLUE SPOT CERAMIC DRAWER KNOB",6,"2011-06-12 13:17:00",1.25,16938,"United Kingdom"
"579187","90200D","PINK SWEETHEART BRACELET",1,"2011-11-28 15:31:00",4.15,NA,"United Kingdom"
"559552","22068","BLACK PIRATE TREASURE CHEST",2,"2011-07-10 16:29:00",1.65,16014,"United Kingdom"
"574356","20723","STRAWBERRY CHARLOTTE BAG",48,"2011-11-04 10:48:00",2.46,NA,"United Kingdom"
"580727","22766","PHOTO FRAME CORNICE",1,"2011-12-05 17:17:00",5.79,14096,"United Kingdom"
"544278","22417","PACK OF 60 SPACEBOY CAKE CASES",24,"2011-02-17 12:01:00",0.55,15382,"United Kingdom"
"549257","22398","MAGNETS PACK OF 4 SWALLOWS",1,"2011-04-07 12:29:00",1.25,14465,"United Kingdom"
"541493","21240","BLUE POLKADOT CUP",1,"2011-01-18 14:29:00",1.63,NA,"United Kingdom"
"570428","84247E","PACK OF 12 CHRISTMAS FUN CARDS",2,"2011-10-10 14:02:00",2.95,15553,"United Kingdom"
"550522","21829","DINOSAUR KEYRINGS ASSORTED",36,"2011-04-19 10:04:00",0.21,12947,"United Kingdom"
"566288","22666","RECIPE BOX PANTRY YELLOW DESIGN",6,"2011-09-11 15:18:00",2.95,12883,"United Kingdom"
"572666","22492","MINI PAINT SET VINTAGE ",36,"2011-10-25 13:03:00",0.65,15134,"United Kingdom"
"580753","21212","PACK OF 72 RETROSPOT CAKE CASES",24,"2011-12-06 10:00:00",0.55,12682,"France"
"581498","22961","JAM MAKING SET PRINTED",4,"2011-12-09 10:26:00",3.29,NA,"United Kingdom"
